Ticker,1Y Return %,90D Realized Vol %,Average Volume (3M)
LMT,-15.400214829001712,26.271525823411146,1643141.0317460317
INTC,68.61904275948274,69.95046924058568,117445912.25396825
CSCO,33.65277430544995,18.884743438785197,19192851.968253966
NUE,-6.533049689183434,27.206825854702338,1636617.0
SPY,19.31381200526534,8.690372468162254,70438788.36507936
